Name,City,State,EIN,Tax Year,Tax Period End,Form Type Filed,Contributions,Investment Income,Program Service Revenue,Total Revenue,Total Expenses,Total Assets,Total Liabilities,Net Assets
Apereo Foundation Incorporated,Beaverton,OR,462060554,2022,202212,0,624754,199,3506,629020,414219,876499,209937,666562
Apereo Foundation Incorporated,Beaverton,OR,462060554,2021,202112,0,711594,13,865,720452,532454,821793,359392,462401
Apereo Foundation Incorporated,Beaverton,OR,462060554,2020,202012,0,765505,0,6979,772484,503217,653076,329798,323278
Apereo Foundation Incorporated,Beaverton,OR,462060554,2019,201912,0,72398,0,678969,751367,714878,435418,381407,54011
Apereo Foundation Incorporated,Beaverton,OR,462060554,2018,201812,0,35929,0,735048,770977,763677,374564,357042,17522
Apereo Foundation Incorporated,Beaverton,OR,462060554,2017,201712,0,10105,0,644756,654861,799247,332438,322216,10222
Apereo Foundation Incorporated,Beaverton,OR,462060554,2016,201612,0,607,33,672897,673537,934365,397670,243062,154608
Apereo Foundation Incorporated,Beaverton,OR,462060554,2015,201512,0,56000,60,1180978,1237038,1186406,651278,235842,415436
Apereo Foundation Incorporated,Beaverton,OR,462060554,2014,201412,0,0,120,1021946,1022066,1119539,632114,293461,338653
Apache Software Foundation,Wilmington,DE,470825376,2022,202204,0,1746880,7103,11200,1765183,1548909,4279071,3310,4275761
Apache Software Foundation,Wilmington,DE,470825376,2021,202104,0,2075296,12308,14042,2101646,1569582,4120297,2064,4118233
Apache Software Foundation,Wilmington,DE,470825376,2020,202004,0,2048910,20854,192191,2261955,2511039,3586169,0,3586169
Apache Software Foundation,Wilmington,DE,470825376,2019,201904,0,2284957,17902,274666,2583535,1747000,3836685,400,3836285
Apache Software Foundation,Wilmington,DE,470825376,2018,201804,0,2640369,7941,33100,2698058,1252301,3000250,500,2999750
Apache Software Foundation,Wilmington,DE,470825376,2017,201704,0,910681,6209,0,917715,1205831,1553993,0,1553993
Apache Software Foundation,Wilmington,DE,470825376,2016,201604,0,972716,1086,0,973802,946589,1842108,0,1842108
Apache Software Foundation,Wilmington,DE,470825376,2015,201504,0,1184567,271,0,1184838,940780,1814895,0,1814895
Apache Software Foundation,Wilmington,DE,470825376,2014,201404,0,1077746,24,50002,1130670,653422,1541446,0,1541446
Apache Software Foundation,Wilmington,DE,470825376,2013,201304,0,873012,689,32031,905732,501556,1239968,0,1239968
Apache Software Foundation,Wilmington,DE,470825376,2012,201204,0,541487,603,12349,554439,404929,818634,1500,817134
Beneficent Technology Inc,Palo Alto,CA,770555413,2022,202212,0,14900969,10716,1195963,16107648,16300016,6571567,2381195,4190372
Beneficent Technology Inc,Palo Alto,CA,770555413,2021,202112,0,15005323,487,1047341,16053151,14643213,6239324,1856584,4382740
Beneficent Technology Inc,Palo Alto,CA,770555413,2020,202012,0,14574654,7075,922817,15504546,15323008,7372573,4146439,3226134
Beneficent Technology Inc,Palo Alto,CA,770555413,2019,201912,0,12757890,18147,2039375,14815412,14771631,5233252,2188656,3044596
Beneficent Technology Inc,Palo Alto,CA,770555413,2018,201812,0,3112638,14759,10652617,13780014,12728000,5238161,2237346,3000815
Beneficent Technology Inc,Palo Alto,CA,770555413,2017,201712,0,1255343,6411,10078925,11338799,12285428,3462556,1513755,1948801
Beneficent Technology Inc,Palo Alto,CA,770555413,2016,201612,0,1663309,5042,11300100,12960624,13424627,4848400,1952970,2895430
Beneficent Technology Inc,Palo Alto,CA,770555413,2015,201512,0,2574088,7010,10689996,13266114,12304702,5126976,1767543,3359433
Beneficent Technology Inc,Palo Alto,CA,770555413,2014,201412,0,2120929,2254,11602234,13731806,12906245,4282562,1884541,2398021
Beneficent Technology Inc,Palo Alto,CA,770555413,2013,201312,0,1071357,543,10854004,11929566,12864522,3029986,1457526,1572460
Beneficent Technology Inc,Palo Alto,CA,770555413,2012,201212,0,2239744,1746,10326225,12573780,11879867,3843559,1336143,2507416
Beneficent Technology Inc,Palo Alto,CA,770555413,2011,201112,0,1641706,1724,8468809,10117818,10331247,2957275,1143772,1813503
Biobricks Foundation Incorporated,San Francisco,CA,203310501,2022,202207,1,29,66,0,243,122874,126849,0,126849
Biobricks Foundation Incorporated,San Francisco,CA,203310501,2021,202107,1,1227,189,0,31341,343727,251737,2257,249480
Biobricks Foundation Incorporated,San Francisco,CA,203310501,2020,202007,0,1310,541,0,1851,540721,593966,32101,561865
Biobricks Foundation Incorporated,San Francisco,CA,203310501,2019,201907,0,1043,588,0,1631,744073,1160007,59272,1100735
Biobricks Foundation Incorporated,San Francisco,CA,203310501,2018,201807,0,1803250,457,0,1803707,1090943,1958091,114914,1843177
Biobricks Foundation Incorporated,San Francisco,CA,203310501,2017,201707,0,1518345,377,0,1518722,1417089,1462199,331786,1130413
Biobricks Foundation Incorporated,San Francisco,CA,203310501,2016,201607,0,1312259,291,0,1312550,1149772,2394555,1365775,1028780
Biobricks Foundation Incorporated,San Francisco,CA,203310501,2015,201507,0,1326707,115,0,1327534,596641,882955,16953,866002
Biobricks Foundation Incorporated,San Francisco,CA,203310501,2014,201407,0,89556,61,0,89617,275735,151336,16227,135109
Biobricks Foundation Incorporated,San Francisco,CA,203310501,2013,201307,0,151292,364,459475,611131,524086,370590,49363,321227
Biobricks Foundation Incorporated,San Francisco,CA,203310501,2012,201207,0,37440,289,199200,237929,321932,288403,4250,284153
Biobricks Foundation Incorporated,San Francisco,CA,203310501,2011,201107,0,721222,105,189182,911097,654790,453441,85285,368156
Bytecode Alliance Foundation,Wilmington,DE,863131901,2022,202212,0,399167,1,0,399168,146875,551828,55632,496196
Bytecode Alliance Foundation,Wilmington,DE,863131901,2021,202112,0,287500,1,0,287501,43598,251903,8000,243903
Creative Commons Corporation,Mountain View,CA,43585301,2022,202212,0,7330744,0,331635,7655908,4273672,12542497,258530,12283967
Creative Commons Corporation,Mountain View,CA,43585301,2021,202112,0,9506488,113,346552,9853619,3127102,9584245,682444,8901801
Creative Commons Corporation,Mountain View,CA,43585301,2020,202012,0,718244,12681,207758,942784,4129882,2939542,764217,2175325
Creative Commons Corporation,Mountain View,CA,43585301,2019,201912,0,2736370,95503,223089,3267812,4211547,5607538,245229,5362309
Creative Commons Corporation,Mountain View,CA,43585301,2018,201812,0,1775335,160825,70498,2006658,4137424,6699274,394298,6304976
Creative Commons Corporation,Mountain View,CA,43585301,2017,201712,0,1477689,133858,11668,1639408,3600414,8958034,321328,8636706
Creative Commons Corporation,Mountain View,CA,43585301,2016,201612,0,12564987,101,0,12563767,3342546,10820243,283416,10536827
Creative Commons Corporation,Mountain View,CA,43585301,2015,201512,0,1706083,313,0,1702944,2746464,1562336,248959,1313377
Creative Commons Corporation,Mountain View,CA,43585301,2014,201412,0,2912901,87,0,2915456,4492360,2664337,276983,2387354
Creative Commons Corporation,Mountain View,CA,43585301,2013,201312,0,4232527,63,0,4238850,5927968,4628846,620693,4008153
Creative Commons Corporation,Mountain View,CA,43585301,2012,201212,0,1075644,31,21081,1128968,4961407,6058282,361668,5696614
Creative Commons Corporation,Mountain View,CA,43585301,2011,201112,0,9742864,0,21081,9846493,5793074,10419288,891292,9527996
Django Events Foundation North America,San Jose,CA,473151229,2022,202212,0,29,54,300434,300517,247750,239766,0,239766
Django Events Foundation North America,San Jose,CA,473151229,2021,202112,0,36,64,69733,69833,31851,186999,0,186999
Django Events Foundation North America,San Jose,CA,473151229,2020,202012,0,132,86,0,218,31346,149017,0,149017
Django Events Foundation North America,San Jose,CA,473151229,2019,201912,0,0,0,311571,311587,282365,180227,82,180145
Django Events Foundation North America,San Jose,CA,473151229,2018,201812,0,0,0,347569,347576,258128,161005,10082,150923
Django Events Foundation North America,San Jose,CA,473151229,2017,201712,0,53815,0,119856,173685,189935,62257,782,61475
Django Events Foundation North America,San Jose,CA,473151229,2016,201612,0,46211,0,146323,192545,177927,77807,82,77725
Django Events Foundation North America,San Jose,CA,473151229,2015,201512,0,96855,0,167560,264416,201308,63690,582,63108
Django Software Foundation,Huntersville,NC,262708549,2022,202212,0,267501,0,0,267843,285330,214555,0,214555
Django Software Foundation,Huntersville,NC,262708549,2021,202112,0,249354,0,0,250058,197368,232042,0,232042
Django Software Foundation,Huntersville,NC,262708549,2020,202012,0,199377,0,0,200042,188744,179352,0,179352
Django Software Foundation,Huntersville,NC,262708549,2019,201912,0,214200,0,0,214200,182887,168054,0,168054
Django Software Foundation,Huntersville,NC,262708549,2018,201812,1,72449,0,0,72449,184167,136741,0,136741
Django Software Foundation,Huntersville,NC,262708549,2017,201712,0,222997,0,0,222997,195053,248459,0,248459
Django Software Foundation,Huntersville,NC,262708549,2016,201612,0,304402,0,0,304402,162377,209389,0,209389
Net Foundation,Redmond,WA,472119192,2022,202206,0,434900,0,0,434900,315916,354963,115174,239789
Net Foundation,Redmond,WA,472119192,2021,202106,1,172811,0,0,172811,217534,355650,184845,170805
Net Foundation,Redmond,WA,472119192,2020,202006,0,286950,0,0,286950,154922,229721,14193,215528
Net Foundation,Redmond,WA,472119192,2019,201906,1,16574,0,0,16789,114110,50750,0,50750
Net Foundation,Redmond,WA,472119192,2018,201806,1,117921,0,0,118235,96137,148071,0,148071
Net Foundation,Redmond,WA,472119192,2017,201706,1,108000,0,2785,111379,87334,125973,0,125973
Net Foundation,Redmond,WA,472119192,2016,201606,1,0,0,3231,3397,32233,101928,0,101928
Net Foundation,Redmond,WA,472119192,2015,201506,1,135000,0,0,135000,4236,130764,0,130764
Drupalcon Inc,Portland,OR,271138640,2022,202212,0,2413734,3019,901861,3550101,3117138,3083411,673975,2409436
Drupalcon Inc,Portland,OR,271138640,2021,202112,0,1936121,727,510232,2841733,2266138,2891155,913674,1977481
Drupalcon Inc,Portland,OR,271138640,2020,202012,0,2206415,690,585954,3243281,2309158,1902355,499499,1402856
Drupalcon Inc,Portland,OR,271138640,2019,201912,0,1813237,2754,1906171,4228575,4130936,1599638,1120583,479055
Drupalcon Inc,Portland,OR,271138640,2018,201812,0,1867561,1511,1163016,3526135,3642999,1625733,1242916,382817
Drupalcon Inc,Portland,OR,271138640,2017,201712,0,2210379,824,1946688,4729236,4155232,1116512,608270,508242
Drupalcon Inc,Portland,OR,271138640,2016,201612,0,2299463,0,1979403,4919716,5174983,753119,845272,-92153
Drupalcon Inc,Portland,OR,271138640,2015,201512,0,2222847,1310,2214790,5194925,6161248,797437,611578,185859
Drupalcon Inc,Portland,OR,271138640,2014,201412,0,1842844,0,2237166,4595923,4913442,1560884,354173,1206711
Drupalcon Inc,Portland,OR,271138640,2013,201312,0,1610249,662,2456566,4344280,3706956,1988926,352957,1635969
Drupalcon Inc,Portland,OR,271138640,2012,201212,0,1308979,28679,1794876,3353027,2898320,1828116,834608,993508
Drupalcon Inc,Portland,OR,271138640,2011,201112,0,771702,695,1455416,2227813,2258124,1004067,107443,896624
Electronic Frontier Foundation Inc,San Francisco,CA,43091431,2022,202206,0,21718499,647954,4354,23876681,16747298,46412039,992938,45419101
Electronic Frontier Foundation Inc,San Francisco,CA,43091431,2021,202106,0,16647324,469006,69610,17692904,15427845,46555416,1112228,45443188
Electronic Frontier Foundation Inc,San Francisco,CA,43091431,2020,202006,0,10778555,679879,568921,12212821,14980781,40689795,2405872,38283923
Electronic Frontier Foundation Inc,San Francisco,CA,43091431,2019,201906,0,12707275,690104,263356,14232158,14567170,40872397,593673,40278724
Electronic Frontier Foundation Inc,San Francisco,CA,43091431,2018,201806,0,12915696,490783,144659,15913065,13379612,40253077,527100,39725977
Electronic Frontier Foundation Inc,San Francisco,CA,43091431,2017,201706,0,16833747,635135,22500,17392426,11398529,36327464,547631,35779833
