identifier,commonName,description,website,foundingDate,parentOrganization
accumulo,Apache Accumulo,"Sorted, distributed key/value store",http://accumulo.apache.org/,03/2012,asf
activemq,Apache ActiveMQ,Distributed Messaging System,http://activemq.apache.org/,01/2007,asf
age,Apache AGE,a multi-model database that enables graph and relational models built on PostgreSQL,http://age.apache.org,05/2022,asf
airavata,Apache Airavata,Workflow and Computational Job Management Middleware,http://airavata.apache.org/,09/2012,asf
airflow,Apache Airflow,workflow automation and scheduling that can be used to author and manage data pipelines,http://airflow.apache.org/,12/2018,asf
allura,Apache Allura,Forge software for hosting software projects,http://allura.apache.org/,03/2014,asf
ambari,Apache Ambari,Hadoop cluster management,http://ambari.apache.org/,06/2022,asf
ant,Apache Ant,Java-based build tool,http://ant.apache.org/,11/2002,asf
any23,Apache Any23,Anything to Triples,http://any23.apache.org/,08/2012,asf
apisix,Apache APISIX,a cloud-native microservices API gateway,http://apisix.apache.org,07/2020,asf
archiva,Apache Archiva,Build Artifact Repository Manager,http://archiva.apache.org/,03/2008,asf
aries,Apache Aries,Enterprise OSGi application programming model,http://aries.apache.org/,12/2010,asf
arrow,Apache Arrow,Powering Columnar In-Memory Analytics,http://arrow.apache.org/,01/2016,asf
asterixdb,Apache AsterixDB,open source Big Data Management System,http://asterixdb.apache.org/,04/2016,asf
atlas,Apache Atlas,scalable and extensible set of core foundational governance services,http://atlas.apache.org/,06/2017,asf
attic,Apache Attic,A home for dormant projects,http://attic.apache.org/,11/2008,asf
avro,Apache Avro,A Serialization System,http://avro.apache.org/,04/2010,asf
axis,Apache Axis,Java SOAP Engine,http://axis.apache.org/,12/2009,asf
bahir,Apache Bahir,Extensions to distributed analytic platforms such as Apache Spark,http://bahir.apache.org/,05/2016,asf
beam,Apache Beam,"Programming model, SDKs, and runners for defining and executing data processing pipelines",http://beam.apache.org/,12/2016,asf
bigtop,Apache Bigtop,Apache Hadoop ecosystem integration and distribution project,http://bigtop.apache.org/,09/2012,asf
bloodhound,Apache Bloodhound,"Issue tracking, wiki and repository browser",http://bloodhound.apache.org/,03/2013,asf
bookkeeper,Apache BookKeeper,Replicated log service which can be used to build replicated state machines,http://bookkeeper.apache.org/,11/2014,asf
brooklyn,Apache Brooklyn,"Framework for modeling, monitoring, and managing applications through autonomic blueprints",http://brooklyn.apache.org/,11/2015,asf
brpc,Apache bRPC,an industrial-grade RPC framework for building reliable and high-performance services,http://brpc.apache.org,12/2022,asf
buildstream,Apache BuildStream,"efficiently and correctly developing, building and integrating software stacks",http://buildstream.apache.org,09/2022,asf
bval,Apache BVal,JSR-303 Bean Validation Implementation and Extensions,http://bval.apache.org/,02/2012,asf
calcite,Apache Calcite,Dynamic data management framework,http://calcite.apache.org/,10/2015,asf
camel,Apache Camel,Spring based Integration Framework which implements the Enterprise Integration Patterns,http://camel.apache.org/,12/2008,asf
carbondata,Apache CarbonData,indexed columnar data format for fast analytics on big data platform,http://carbondata.apache.org/,04/2017,asf
cassandra,Apache Cassandra,Highly scalable second-generation distributed database,http://cassandra.apache.org/,02/2010,asf
causeway,Apache Causeway,Framework for rapidly developing domain-driven apps in Java,http://causeway.apache.org/,10/2012,asf
cayenne,Apache Cayenne,User-friendly Java ORM with Tools,http://cayenne.apache.org/,12/2006,asf
celix,Apache Celix,Implementation of the OSGi specification adapted to C,http://celix.apache.org/,07/2014,asf
cloudstack,Apache CloudStack,Infrastructure as a Service solution,http://cloudstack.apache.org/,03/2013,asf
cocoon,Apache Cocoon,"Web development framework: separation of concerns, component-based",http://cocoon.apache.org/,01/2003,asf
commons,Apache Commons,Reusable Java components,http://commons.apache.org/,06/2007,asf
comdev,Apache Community Development,Resources to help people become involved with Apache projects,http://community.apache.org/,11/2009,asf
cordova,Apache Cordova,"Platform for building native mobile applications using HTML, CSS and JavaScript",http://cordova.apache.org/,10/2012,asf
couchdb,Apache CouchDB,RESTful document database,http://couchdb.apache.org/,11/2008,asf
creadur,Apache Creadur,Comprehension and auditing of software distributions,http://creadur.apache.org/,04/2012,asf
ctakes,Apache cTAKES,Natural language processing (NLP) tool for information extraction from electronic medical record clinical free-text,http://ctakes.apache.org/,03/2013,asf
curator,Apache Curator,Java libraries that make using Apache ZooKeeper easier,http://curator.apache.org/,09/2013,asf
cxf,Apache CXF,Service Framework,http://cxf.apache.org/,04/2008,asf
daffodil,Apache Daffodil,an implementation of the Data Format Description Language (DFDL) used to convert between fixed format data and more readily processed forms such as XML or JSON,http://daffodil.apache.org,02/2021,asf
datafu,Apache DataFu,well-tested libraries that help developers solve common data problems in Hadoop and similar distributed systems,http://datafu.apache.org/,02/2018,asf
datasketches,Apache DataSketches,"an open source, high-performance library of streaming algorithms commonly called ""sketches"" in the data sciences. Sketches are small, stateful programs that process massive data as a stream and can provide approximate answers, with mathematical guarantees, to computationally difficult queries orders-of-magnitude faster than traditional, exact methods",http://datasketches.apache.org,12/2020,asf
db,Apache DB,Database access,http://db.apache.org/,07/2002,asf
deltaspike,Apache DeltaSpike,Portable CDI extensions that provide useful features for Java application developers,http://deltaspike.apache.org/,04/2013,asf
directory,Apache Directory,Apache Directory Server,http://directory.apache.org/,02/2005,asf
dolphinscheduler,Apache DolphinScheduler,a distributed and extensible workflow scheduler platform with powerful DAG visual interfaces,http://dolphinscheduler.apache.org,03/2021,asf
doris,Apache Doris,a MPP-based interactive SQL data warehousing for reporting and analysis,http://doris.apache.org,06/2022,asf
drill,Apache Drill,"Schema-free SQL Query Engine for Apache Hadoop, NoSQL and Cloud Storage",http://drill.apache.org/,11/2014,asf
druid,Apache Druid,analytical database software,http://druid.apache.org,12/2019,asf
dubbo,Apache Dubbo,"a high-performance, lightweight, java based RPC framework.",http://dubbo.apache.org/,05/2019,asf
echarts,Apache ECharts,a charting and data visualization library written in JavaScript,http://echarts.apache.org,12/2020,asf
empiredb,Apache Empire-db,Relational Data Persistence,http://empire-db.apache.org/,01/2012,asf
eventmesh,Apache EventMesh,a fully serverless platform used to build distributed event-driven applications,http://eventmesh.apache.org,03/2023,asf
felix,Apache Felix,OSGi Framework and components.,http://felix.apache.org/,03/2007,asf
fineract,Apache Fineract,Platform for Digital Financial Services,http://fineract.apache.org/,04/2017,asf
flagon,Apache Flagon,"thin-client behavioral logging capability useful for business analytics, usage analytics, usability and user testing",http://flagon.apache.org,03/2023,asf
flex,Apache Flex,"Application framework for expressive web applications that deploy to all major browsers, desktops and devices.",http://flex.apache.org/,12/2012,asf
flink,Apache Flink,platform for scalable batch and stream data processing,http://flink.apache.org/,12/2014,asf
flume,Apache Flume,"A reliable service for efficiently collecting, aggregating, and moving large amounts of log data",http://flume.apache.org/,06/2012,asf
fluo,Apache Fluo,Storage and incremental processing of large data sets,http://fluo.apache.org/,07/2017,asf
freemarker,Apache FreeMarker,a template engine.,http://freemarker.apache.org/,03/2018,asf
geode,Apache Geode,"Low latency, high concurrency data management solutions",http://geode.apache.org/,11/2016,asf
geronimo,Apache Geronimo,"Java2, Enterprise Edition (J2EE) container",http://geronimo.apache.org/,05/2004,asf
giraph,Apache Giraph,Iterative graph processing system built for high scalability,http://giraph.apache.org/,05/2012,asf
