identifier,commonName,description,website,foundingDate,parentOrganization
numpy,NumPy,"
NumPy is a universal data structure that fundamentally enables data analysis in numerical computing by permitting the exchange of data between algorithms. NumPy is a foundational project for the Python scientific computing stack.",http://www.numpy.org/,2015,numfocus
matplotlib,Matplotlib,"
Matplotlib is a flexible and customizable tool for producing static and interactive data visualizations.",https://matplotlib.org/,2015,numfocus
pandas,pandas,"
pandas is a data wrangling platform for Python widely adopted in the scientific computing community. pandas provides easy-to-use data ingestion, transformation, and export functions.",http://pandas.pydata.org/,2015,numfocus
projectjupyter,Project Jupyter,"Project Jupyter develops tools for interactive computing, research and education with an emphasis in data science workflows. Its flagship application is the widely used Jupyter Notebook, a web application that allows users to craft live narratives combining text, code and multimedia output. These documents support exploratory computing in a wide array of programming languages and can be shared to support collaborative and reproducible work.",https://jupyter.org/,2014,numfocus
ipython,IPython,"
IPython is an enhanced interactive Python environment aimed at maximizing productivity in workflows that combine data, computation and exploratory programming. It gave rise to the larger, cross-language Project Jupyter, and it continues to provide the default Python environment for the Jupyter platform.",http://ipython.org/,2014,numfocus
scipy,SciPy,"SciPy provides fundamental numerical algorithms for scientific computing: statistics, numerical optimization, linear algebra, special functions, integration, interpolation, signal and image processing, and more. SciPy is a foundational building block for scientific and numerical computing in Python.",https://scipy.org/,2019,numfocus
nteract,nteract,"
nteract is a stand-alone desktop application for developing computational notebooks. nteract allows users to craft narratives involving text, code, images, and data on the desktop rather than through a web application. This enables users to use their native system for file search as well as clicking to open notebook files.",https://nteract.io/,2016,numfocus
stan,Stan,"
Stan is a platform for Bayesian modeling, inference, and visualization on the frontiers of applied statistics.",http://mc-stan.org/,2016,numfocus
pymc,PyMC,PyMC is a Python-based statistical modeling tool for Bayesian statistical modeling and Probabilistic Machine Learning which focuses on advanced Markov chain Monte Carlo and variational fitting algorithms.,http://docs.pymc.io/,2016,numfocus
julia,Julia,"
Julia is a fast and user-friendly programming language for high-performance scientific computing.",https://julialang.org/,2014,numfocus
jump,JuMP,"JuMP is a modeling interface and a collection of supporting packages for mathematical optimization that is embedded in Julia. With JuMP, users formulate various classes of optimization problems with easy-to-read code, and then solve these problems using state-of-the-art open-source and commercial solvers. JuMP also makes advanced optimization techniques easily accessible from a high-level language.",https://jump.dev/,2018,numfocus
pytables,PyTables,"
PyTables is an efficient method for storing and querying both numerical and textual data. PyTables provides seamless access to the convenient HDF5 library, a popular container for datasets that can grow to terabytes and beyond. With its support of the ultra-fast Blosc compressor, PyTables optimizes memory and disk resources so that data takes up far less space than other solutions, without allowing compression to slow down your data management.",http://www.pytables.org/,2016,numfocus
shogun,Shogun,"
The Shogun Machine Learning Toolbox is devoted to making machine learning tools available for free, to everyone. It provides efficient implementation of all standard ML algorithms. Shogun ensures that the underlying algorithms are transparent and accessible—a unified interface provides access via many popular programming languages, including C++, Python, Octave, R, Java, Lua, C#, and Ruby.",http://www.shogun-toolbox.org/,2017,numfocus
sympy,SymPy,"
SymPy is a library for symbolic mathematics, which means performing mathematical calculations exactly (as opposed to inexact numeric calculations from libraries such as NumPy). Its core features include basic arithmetic, simplification trigonometry, polynomials, expansion, functions, substitution, numbers, noncommutative symbols, and pattern matching.",http://www.sympy.org/en/index.html,2014,numfocus
fenicsproject,FEniCS Project,"
FEniCS is an automated finite element library used to solve equations used in modeling, featuring a domain-specific language and automated code generation. Users input a problem that looks very much like mathematical notation; FEniCS then translates that into computer code. It solves problems for which there is no analytical (exact) solution numerically.",https://fenicsproject.org/,2016,numfocus
yt,yt,"
yt is a tool for querying, analyzing and visualizing objects or regions of interest to identify emergent properties in data available in a variety of real-world research data formats. Initially developed for use by professional astronomers, yt can be applied in a variety of domains including astrophysics, seismology, nuclear engineering, molecular dynamics, and oceanography.",http://yt-project.org/,2016,numfocus
econark,Econ-ARK,"
The aim of the Econ-ARK project is to make it easier for social scientists to do ‘structural modeling’ of economic choice behavior by providing a well-documented, open source codebase containing the core techniques in a way that can be relatively easily adapted to address many different questions in both macro- and microeconomics. ‘Structural’ modeling of economic choices aims to identify the logic or reasons behind observed behavior, rather than just describing that behavior statistically.",https://econ-ark.org/,2017,numfocus
astropy,Astropy,"
The Astropy Project provides software tools and infrastructure to facilitate research by professional astronomers. In addition to maintaining a core Python package, the Astropy Project supports the development of high-grade affiliated packages by members of the astronomical community.",http://www.astropy.org/,2014,numfocus
sunpy,SunPy,"
SunPy is a Python-based software library that provides tools for performing research using direct observations of the Sun and Heliosphere.",http://sunpy.org/,2017,numfocus
quantecon,QuantEcon,"
QuantEcon is dedicated to improving economic modeling by providing and enhancing open source computational tools for economists. QuantEcon offers code libraries useful for economics; workshops, seminars and training; and an online archive of lectures on economics and programming.",https://quantecon.org/,2016,numfocus
ropensci,rOpenSci,"
rOpenSci creates technical and community infrastructure for open and reproducible research in the R language. It features a curated collection of over 300 R packages, an open software peer review system for community-contributed packages, a platform for building, testing, and publishing R packages, and documentation, and community engagement programs to support scientific R users and developers.
",https://ropensci.org/,2014,numfocus
openjournals,Open Journals,"
Open Journals is a collection of open source, open access journals. The flagship Journal of Open Source Software (JOSS) is a developer friendly journal for research software packages. With a formal peer review process that is designed to improve the quality of the software submitted, JOSS is designed to help researchers developing open source software to receive career credit for their work.",http://www.theoj.org/,2017,numfocus
