identifier,commonName,description,website,foundingDate,parentOrganization
0ad,0 A.D.,,https://www.spi-inc.org/projects/0ad,,spi
adlielinux,Adélie Linux,,https://www.spi-inc.org/projects/adelielinux,,spi
ankurorgin,ankur.org.in,,https://www.spi-inc.org/projects/ankur.org.in,,spi
aptosid,aptosid,,https://www.spi-inc.org/projects/aptosid,,spi
archlinux,Arch Linux,,https://www.spi-inc.org/projects/archlinux,,spi
archlinux32,Arch Linux 32,,https://www.spi-inc.org/projects/archlinux32,,spi
ardupilot,ArduPilot,,https://www.spi-inc.org/projects/ardupilot,,spi
battleforwesnoth,Battle for Wesnoth,,https://www.spi-inc.org/projects/wesnoth,,spi
compilefarm,Compile Farm,,https://www.spi-inc.org/projects/cfarm,,spi
debian,Debian,,https://www.spi-inc.org/projects/debian,,spi
ffmpeg,FFmpeg,,https://www.spi-inc.org/projects/ffmpeg,,spi
fluxbox,Fluxbox,,https://www.spi-inc.org/projects/fluxbox,,spi
gallery,Gallery,,https://www.spi-inc.org/projects/gallery,,spi
ganeti,Ganeti,,https://www.spi-inc.org/projects/ganeti,,spi
gnustep,GNUstep,,https://www.spi-inc.org/projects/gnustep,,spi
gnutexmacs,GNU TeXmacs,,https://www.spi-inc.org/projects/gnu-texmacs,,spi
haskellorg,haskell.org,,https://www.spi-inc.org/projects/haskell,,spi
libreoffice,LibreOffice,,https://www.spi-inc.org/projects/libreoffice,,spi
mingw,MinGW,,https://www.spi-inc.org/projects/mingw,,spi
mpiforum,MPI Forum,,https://www.spi-inc.org/projects/mpi-forum,,spi
ntpsec,NTPsec,,https://www.spi-inc.org/projects/ntpsec,,spi
ns3,ns-3,,https://www.spi-inc.org/projects/ns-3,,spi
oftc,OFTC,,https://www.spi-inc.org/projects/oftc,,spi
openbioinformaticsfoundation,Open Bioinformatics Foundation,,https://www.spi-inc.org/projects/obf,,spi
openmpi,Open MPI,,https://www.spi-inc.org/projects/open-mpi,,spi
openvotingfoundation,Open Voting Foundation,,https://www.spi-inc.org/projects/open-voting-foundation,,spi
openembedded,OpenEmbedded,,https://www.spi-inc.org/projects/openembedded,,spi
opensaf,OpenSAF,,https://www.spi-inc.org/projects/opensaf,,spi
openvas,OpenVAS,,https://www.spi-inc.org/projects/openvas,,spi
openzfs,OpenZFS,,https://www.spi-inc.org/projects/openzfs,,spi
pmix,PMIx,,https://www.spi-inc.org/projects/pmix,,spi
postgresql,PostgreSQL,,https://www.spi-inc.org/projects/postgresql,,spi
privoxy,Privoxy,,https://www.spi-inc.org/projects/privoxy,,spi
sproutcore,SproutCore,,https://www.spi-inc.org/projects/sproutcore,,spi
swathanthramalayalamcomputing,Swathanthra Malayalam Computing,,https://www.spi-inc.org/projects/smc,,spi
systemd,systemd,,https://www.spi-inc.org/projects/systemd,,spi
themanaworld,The Mana World,,https://www.spi-inc.org/projects/tmw,,spi
translatewikinet,translatewiki.net,,https://www.spi-inc.org/projects/translatewiki.net,,spi
tux4kids,Tux4Kids,,https://www.spi-inc.org/projects/tux4kids,,spi
xorg,X.Org,,https://www.spi-inc.org/projects/x.org,,spi
yafaray,YafaRay,,https://www.spi-inc.org/projects/yafaray,,spi
