commonName,website,addressCountry,addressRegion,nonprofitStatus,description
Center for Cultivation of Technology,https://www.techcultivation.org,DE,,,Services host for opensource groups
Commons Conservancy,https://commonsconservancy.org,NL,,,
Foundation For Public Code,https://publiccode.net,NL,registration 74996452 and identification number (RSIN) 860102294,Dutch Vereniging,
"Free and Open Source Silicon Foundation ",https://www.fossi-foundation.org,UK,,United Kingdom not-for-profit limited by guarantee,
Free Knowledge Insititue,http://freeknowledge.eu/,NL,,Dutch Stichting,
Krita,https://krita.org/en/about/krita-foundation/,,,Stichting Krita Foundation,
NLNet,https://nlnet.nl,NL,,Netherlands ANBI,
NLNet Labs,https://www.nlnetlabs.nl/organisation/,NL,,Netherlands ANBI,
OASIS Open Europe,https://www.oasis-open.eu,NL,,Dutch Stichting,
Open Doc Society,http://www.opendocsociety.org/,NL,,Dutch Stichting,Dead: web host not responding?
Open Search Foundation e.V.,https://opensearchfoundation.org/en/open-search-foundation-home/,DE,Munich VR 208036.,German e.V.,
OpenUK,https://openuk.uk,UK,,United Kingdom not-for-profit limited by guarantee,
OW2,https://www.ow2.org,FR,,French 1901 Non-profit Association,
PostgreSQL Europe,https://postgresql.eu,FR,,French 1901 Non-profit Association,
R Foundation,https://www.r-project.org/foundation/,AU,,Austrian non-profit association (Verein),
Hack Club,https://hackclub.com/,US,CA,c3 EIN 81-2908499,"Focus on high schools, teens, and hackathons, but lots of fiscal hosting"
